0.5	80	3.3	初修取得	1
2	80	3	初修取得	1
1	85	3.7	初修取得	1
2	60	1	初修取得	1
6	85.5	3.7	初修取得	1
3.5	83	3.3	初修取得	1
3.5	70	2	初修取得	0
0.5	78	3	初修取得	1
1	95	4	初修取得	0
4	91	3.9	初修取得	1
3	81	3.3	初修取得	1
0.5	75	2.3	初修取得	1
3	91	3.9	初修取得	1
2	74	2.3	初修取得	1
1	71	2.3	初修取得	1
2	73	2.3	初修取得	1
6	74	2.3	初修取得	1
3	75	2.7	初修取得	1
4	80	3	初修取得	1
1.5	72	2.3	初修取得	1
2.5	70	2	初修取得	1
4	88	3.7	初修取得	1
3	86	3.7	初修取得	1
1	84	3.3	初修取得	1
3	70.5	2	初修取得	1
2	50	0	初修取得	0
2	50.5	0	补考取得	0
4	66	1.7	初修取得	1
4	49	0	初修取得	0
1.5	78	3	初修取得	1
4	66	1.7	初修取得	1
4	66	1.7	初修取得	1
3	82	3.3	初修取得	1
2	93	3.9	初修取得	1
1	75	2.7	初修取得	1
2	61	1	初修取得	1
2	63	1	初修取得	0
2.5	81	3.3	初修取得	1
3	83	3.3	初修取得	1
4	93	3.9	初修取得	1
3.5	79	3	初修取得	1
2.5	71	2.3	初修取得	1
2.5	78.5	3	初修取得	1
2	91	3.9	初修取得	0
0.5	95	4	初修取得	1
0.5	87	3.7	初修取得	1
1	90	3.9	初修取得	0
1	77	2.7	初修取得	1
2	60	1	重修取得	-1
4	67	1.7	重修取得	-1
3.5	96	4	初修取得	1
3.5	92	3.9	初修取得	1
2.5	91	3.9	初修取得	1
5	81	3.3	初修取得	1
3	99.5	4	初修取得	1
3.5	91	3.9	初修取得	1
3.5	88	3.7	初修取得	1
2.5	99.5	4	初修取得	1
